top - 15:45:10 up  4:51,  0 users,  load average: 0.03, 0.27, 0.30
Tasks:  47 total,   1 running,  46 sleeping,   0 stopped,   0 zombie
%Cpu(s):  2.9 us,  4.4 sy,  0.0 ni, 91.2 id,  0.0 wa,  0.0 hi,  0.0 si,  1.5 st
MiB Mem :   2778.5 total,   2744.6 free,      8.4 used,     25.5 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.   2770.1 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
10219 ittimfn   20   0   11.9g 276236 104732 S 200.0   9.7  10:56.56 code
10256 ittimfn   20   0  568448 149152  53364 S 200.0   5.2   1:00.81 code
    1 root      20   0  169444  10380   8156 S   0.0   0.4   0:02.01 systemd
   61 root      20   0  398284  11720  10160 S   0.0   0.4   0:00.24 udisksd
   63 message+  20   0    9224   4340   3644 S   0.0   0.2   0:00.80 dbus-daemon
   73 root      20   0    9488   5796   4512 S   0.0   0.2   0:00.01 dhclient
   98 root      20   0  237416   7952   6048 S   0.0   0.3   0:00.52 polkitd
  108 root      20   0 1296044  76880  44240 S   0.0   2.7   1:09.20 dockerd
  110 root      20   0    5384   2124   2004 S   0.0   0.1   0:00.01 agetty
  111 ittimfn   20   0   21568   9736   7888 S   0.0   0.3   0:00.50 systemd
  112 root      20   0   15852   6764   5924 S   0.0   0.2   0:00.03 sshd
  115 ittimfn   20   0   23044   3100    952 S   0.0   0.1   0:00.00 (sd-pam)
  173 root      20   0 1247600  29916  24500 S   0.0   1.1   0:47.25 docker-containe
  205 ittimfn   20   0   15940   2056   1716 S   0.0   0.1   0:00.06 ld-linux-x86-64
  208 ittimfn   20   0   44500  16832  13172 S   0.0   0.6   0:03.71 ld-linux-x86-64
  209 ittimfn   20   0   44712  17136  13384 S   0.0   0.6   0:48.34 ld-linux-x86-64
  212 ittimfn   20   0   15940   2240   1908 S   0.0   0.1   0:00.07 ld-linux-x86-64
  233 rtkit     21   1  152648   2844   2608 S   0.0   0.1   0:00.47 rtkit-daemon
  251 ittimfn   20   0  653860  33140  20372 S   0.0   1.2   0:03.44 ld-linux-x86-64
  252 ittimfn   20   0  674748  51744  20896 S   0.0   1.8   1:44.24 ld-linux-x86-64
  278 ittimfn   20   0    9064   4240   3660 S   0.0   0.1   0:09.95 dbus-daemon
  428 ittimfn   20   0  763756  10916   9796 S   0.0   0.4   0:06.82 ld-linux-x86-64
  567 ittimfn   20   0  239980   7384   6580 S   0.0   0.3   0:01.28 gvfsd
  585 ittimfn   20   0   22588   8504   7992 S   0.0   0.3   0:35.69 ld-linux-x86-64
  587 ittimfn   20   0    8416   5580   3532 S   0.0   0.2   0:00.98 bash
  594 ittimfn   20   0  129448  50672  25944 S   0.0   1.8   0:11.44 fcitx
  600 ittimfn   20   0    8968   3240   2816 S   0.0   0.1   0:07.87 dbus-daemon
  604 ittimfn   39  19    5108    208      0 S   0.0   0.0   0:00.00 fcitx-dbus-watc
  622 ittimfn   20   0   18052   5624   5216 S   0.0   0.2   0:02.78 ld-linux-x86-64
  647 ittimfn   20   0   75588  29280  24172 S   0.0   1.0   0:01.13 mozc_server
  653 ittimfn   20   0  312452   6544   5832 S   0.0   0.2   0:00.04 at-spi-bus-laun
  658 ittimfn   20   0    8840   3468   3128 S   0.0   0.1   0:00.26 dbus-daemon
  660 ittimfn   20   0  174140   6876   6212 S   0.0   0.2   0:01.94 at-spi2-registr
 3665 root      20   0   19720   4596   3932 S   0.0   0.2   0:00.18 systemd-udevd
 3666 root      20   0   19388   7100   6204 S   0.0   0.2   0:00.35 systemd-logind
 3667 root      20   0   27564   9652   8652 S   0.0   0.3   0:03.80 systemd-journal
 3671 root      20   0   16936   8212   7096 S   0.0   0.3   0:00.05 sshd
 3677 ittimfn   20   0   16936   4860   3736 S   0.0   0.2   0:00.02 sshd
 3678 ittimfn   20   0   16936   3392   2264 S   0.0   0.1   0:00.00 sshd
 4160 ittimfn   20   0  164776   5984   5388 S   0.0   0.2   0:01.56 gvfsd-metadata
10174 ittimfn   20   0  745268 153324  98996 S   0.0   5.4   2:42.43 code
10176 ittimfn   20   0  195856  37716  31472 S   0.0   1.3   0:00.05 code
10202 ittimfn   20   0  372324 103824  71832 S   0.0   3.6   4:08.93 code
10205 ittimfn   20   0  263212  59172  47756 S   0.0   2.1   0:01.57 code
10231 ittimfn   20   0  580020 122272  82696 S   0.0   4.3   0:26.81 code
10271 ittimfn   20   0  425380  67696  45724 S   0.0   2.4   0:04.66 code
15596 ittimfn   20   0   11040   3436   3048 R   0.0   0.1   0:00.01 top
