top - 16:30:54 up  5:37,  0 users,  load average: 0.12, 0.05, 0.10
Tasks:  48 total,   1 running,  47 sleeping,   0 stopped,   0 zombie
%Cpu(s):  1.4 us,  1.4 sy,  0.0 ni, 94.3 id,  0.0 wa,  0.0 hi,  0.0 si,  2.9 st
MiB Mem :   2778.5 total,   2746.0 free,      8.3 used,     24.3 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.   2770.2 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
17059 ittimfn   20   0   11040   3584   3196 R 100.0   0.1   0:00.02 top
    1 root      20   0  169444  10380   8156 S   0.0   0.4   0:02.18 systemd
   61 root      20   0  398284  11692  10132 S   0.0   0.4   0:00.25 udisksd
   63 message+  20   0    9224   4340   3644 S   0.0   0.2   0:00.80 dbus-daemon
   73 root      20   0    9488   5796   4512 S   0.0   0.2   0:00.01 dhclient
   98 root      20   0  237416   7924   6020 S   0.0   0.3   0:00.53 polkitd
  108 root      20   0 1296044  77140  44240 S   0.0   2.7   1:20.64 dockerd
  110 root      20   0    5384   2124   2004 S   0.0   0.1   0:00.01 agetty
  111 ittimfn   20   0   21568   9736   7888 S   0.0   0.3   0:00.50 systemd
  112 root      20   0   15852   6764   5924 S   0.0   0.2   0:00.03 sshd
  115 ittimfn   20   0   23044   3100    952 S   0.0   0.1   0:00.00 (sd-pam)
  173 root      20   0 1247600  29916  24500 S   0.0   1.1   0:55.46 docker-containe
  205 ittimfn   20   0   15940   2056   1716 S   0.0   0.1   0:00.06 ld-linux-x86-64
  208 ittimfn   20   0   44500  16832  13172 S   0.0   0.6   0:04.38 ld-linux-x86-64
  209 ittimfn   20   0   44712  17140  13384 S   0.0   0.6   0:57.33 ld-linux-x86-64
  212 ittimfn   20   0   15940   2240   1908 S   0.0   0.1   0:00.07 ld-linux-x86-64
  233 rtkit     21   1  152648   2844   2608 S   0.0   0.1   0:00.54 rtkit-daemon
  251 ittimfn   20   0  653860  33140  20372 S   0.0   1.2   0:04.13 ld-linux-x86-64
  252 ittimfn   20   0  675260  51744  20896 S   0.0   1.8   2:03.57 ld-linux-x86-64
  278 ittimfn   20   0    9064   4240   3660 S   0.0   0.1   0:10.68 dbus-daemon
  428 ittimfn   20   0  763756  10916   9796 S   0.0   0.4   0:07.64 ld-linux-x86-64
  567 ittimfn   20   0  239980   7384   6580 S   0.0   0.3   0:01.28 gvfsd
  585 ittimfn   20   0   22588   8504   7992 S   0.0   0.3   0:36.80 ld-linux-x86-64
  587 ittimfn   20   0    8872   5872   3788 S   0.0   0.2   0:01.59 bash
  594 ittimfn   20   0  129448  50644  25916 S   0.0   1.8   0:13.24 fcitx
  600 ittimfn   20   0    8968   3240   2816 S   0.0   0.1   0:09.37 dbus-daemon
  604 ittimfn   39  19    5108    208      0 S   0.0   0.0   0:00.00 fcitx-dbus-watc
  622 ittimfn   20   0   18052   5624   5216 S   0.0   0.2   0:03.29 ld-linux-x86-64
  647 ittimfn   20   0   75588  29280  24172 S   0.0   1.0   0:01.20 mozc_server
  653 ittimfn   20   0  312452   6516   5804 S   0.0   0.2   0:00.04 at-spi-bus-laun
  658 ittimfn   20   0    8840   3468   3128 S   0.0   0.1   0:00.30 dbus-daemon
  660 ittimfn   20   0  174140   6848   6184 S   0.0   0.2   0:02.27 at-spi2-registr
 3665 root      20   0   19720   4016   3352 S   0.0   0.1   0:00.21 systemd-udevd
 3666 root      20   0   19388   7100   6204 S   0.0   0.2   0:00.39 systemd-logind
 3667 root      20   0   27568  10116   9108 S   0.0   0.4   0:04.99 systemd-journal
 3671 root      20   0   16936   8212   7096 S   0.0   0.3   0:00.05 sshd
 3677 ittimfn   20   0   16936   4860   3736 S   0.0   0.2   0:00.02 sshd
 3678 ittimfn   20   0   16936   3392   2264 S   0.0   0.1   0:00.00 sshd
 4160 ittimfn   20   0  164776   5984   5388 S   0.0   0.2   0:01.56 gvfsd-metadata
10174 ittimfn   20   0  745780 152424  98968 S   0.0   5.4   3:23.99 code
10176 ittimfn   20   0  195856  37716  31472 S   0.0   1.3   0:00.05 code
10202 ittimfn   20   0  369748 103904  71804 S   0.0   3.7   5:22.42 code
10205 ittimfn   20   0  263212  59216  47756 S   0.0   2.1   0:01.93 code
10219 ittimfn   20   0   11.8g 279496 105116 S   0.0   9.8  14:02.34 code
10231 ittimfn   20   0  582580 125380  82668 S   0.0   4.4   0:32.54 code
10256 ittimfn   20   0  567936 149332  53556 S   0.0   5.2   1:15.60 code
10271 ittimfn   20   0  426916  69528  45724 S   0.0   2.4   0:06.02 code
17036 ittimfn   20   0    2388   1636   1540 S   0.0   0.1   0:00.01 sh
